nama_ptn,akronim,nama_prodi,jenjang,nilai_rata_rata
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNIK SIPIL,D4,87.33
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,STATISTIKA BISNIS,D4,86.98
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNOLOGI REKAYASA KIMIA INDUSTRI,D4,86.61
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNOLOGI REKAYASA OTOMASI,D4,86.33
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNOLOGI REKAYASA INSTRUMENTASI,D4,86.04
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNOLOGI REKAYASA MANUFAKTUR,D4,85.63
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNOLOGI REKAYASA KONSTRUKSI BANGUNAN AIR,D4,85.28
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNOLOGI REKAYASA KONVERSI ENERGI,D4,85.12
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNIK INFORMATIKA,S1,89.97
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,BIOTEKNOLOGI,S1,89.92
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,SISTEM INFORMASI,S1,89.82
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,REKAYASA KESELAMATAN PROSES,S1,89.8
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNIK INDUSTRI,S1,89.8
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNIK ELEKTRO,S1,89.72
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,BISNIS DIGITAL,S1,89.34
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNIK MESIN,S1,89.27
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNIK KIMIA,S1,89.14
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,SAINS KOMUNIKASI,S1,88.92
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,DESAIN KOMUNIKASI VISUAL,S1,88.9
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNIK MATERIAL,S1,88.87
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,MANAJEMEN BISNIS,S1,88.83
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,ARSITEKTUR,S1,88.63
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,STATISTIKA,S1,88.54
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,PERENCANAAN WILAYAH DAN KOTA,S1,88.46
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,KEDOKTERAN,S1,88.22
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNOLOGI INFORMASI,S1,88.11
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNIK PERKAPALAN,S1,88.07
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNIK LINGKUNGAN,S1,88.04
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,SAINS AKTUARIA,S1,87.99
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNIK KOMPUTER,S1,87.63
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNIK BIOMEDIK,S1,87.55
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,REKAYASA KECERDASAN ARTIFISIAL,S1,87.36
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNIK SISTEM PERKAPALAN,S1,87.35
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNIK KELAUTAN,S1,87.26
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,KIMIA,S1,87.24
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,MATEMATIKA,S1,87.23
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNIK FISIKA,S1,86.67
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNIK GEOMATIKA,S1,86.6
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNIK PANGAN,S1,86.55
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,SAINS DATA,S1,86.53
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNOLOGI KEDOKTERAN,S1,86.38
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,DESAIN INTERIOR,S1,86.32
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,REKAYASA PERANGKAT LUNAK,S1,86.23
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,DESAIN PRODUK INDUSTRI,S1,86.19
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNIK GEOFISIKA,S1,86.19
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,STUDI PEMBANGUNAN,S1,86.12
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,BIOLOGI,S1,85.82
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNIK TRANSPORTASI LAUT,S1,85.55
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,INOVASI DIGITAL,S1,85.48
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNIK LEPAS PANTAI,S1,85.48
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEKNIK TELEKOMUNIKASI,S1,85.29
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,FISIKA,S1,85.15
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,SAINS ANALITIK DAN INSTRUMENTASI KIMIA,S1,85.06
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,TEK. SIST PERKAPALAN (GLR GANDA ITS-JERMAN),S1,85.0
INSTITUT TEKNOLOGI SUMATERA,ITERA,FARMASI,S1,89.69
INSTITUT TEKNOLOGI SUMATERA,ITERA,TEKNIK INFORMATIKA,S1,89.38
INSTITUT TEKNOLOGI SUMATERA,ITERA,TEKNIK PERTAMBANGAN,S1,89.27
INSTITUT TEKNOLOGI SUMATERA,ITERA,TEKNIK INDUSTRI,S1,89.06
INSTITUT TEKNOLOGI SUMATERA,ITERA,TEKNIK SIPIL,S1,89.01
INSTITUT TEKNOLOGI SUMATERA,ITERA,TEKNOLOGI PANGAN,S1,88.96
INSTITUT TEKNOLOGI SUMATERA,ITERA,TEKNIK BIOMEDIS,S1,88.93
INSTITUT TEKNOLOGI SUMATERA,ITERA,REKAYASA KOSMETIK,S1,88.89
INSTITUT TEKNOLOGI SUMATERA,ITERA,TEKNIK ELEKTRO,S1,88.73
INSTITUT TEKNOLOGI SUMATERA,ITERA,TEKNIK PERKERETAAPIAN,S1,88.69
INSTITUT TEKNOLOGI SUMATERA,ITERA,PERENCANAAN WILAYAH DAN KOTA,S1,88.27
INSTITUT TEKNOLOGI SUMATERA,ITERA,SAINS DATA,S1,88.23
INSTITUT TEKNOLOGI SUMATERA,ITERA,TEKNIK MESIN,S1,88.21
INSTITUT TEKNOLOGI SUMATERA,ITERA,TEKNIK LINGKUNGAN,S1,88.11
INSTITUT TEKNOLOGI SUMATERA,ITERA,TEKNOLOGI INDUSTRI PERTANIAN,S1,87.69
INSTITUT TEKNOLOGI SUMATERA,ITERA,PARIWISATA,S1,87.48
INSTITUT TEKNOLOGI SUMATERA,ITERA,REKAYASA MINYAK DAN GAS,S1,87.45
INSTITUT TEKNOLOGI SUMATERA,ITERA,TEKNIK GEOLOGI,S1,87.43
INSTITUT TEKNOLOGI SUMATERA,ITERA,DESAIN KOMUNIKASI VISUAL,S1,87.4
INSTITUT TEKNOLOGI SUMATERA,ITERA,TEKNIK KIMIA,S1,87.38
INSTITUT TEKNOLOGI SUMATERA,ITERA,TEKNIK TELEKOMUNIKASI,S1,87.25
INSTITUT TEKNOLOGI SUMATERA,ITERA,SAINS AKTUARIA,S1,87.03
INSTITUT TEKNOLOGI SUMATERA,ITERA,ARSITEKTUR LANSKAP,S1,86.74
INSTITUT TEKNOLOGI SUMATERA,ITERA,TEKNIK GEOFISIKA,S1,86.69
INSTITUT TEKNOLOGI SUMATERA,ITERA,TEKNIK KELAUTAN,S1,86.38
INSTITUT TEKNOLOGI SUMATERA,ITERA,TEKNIK GEOMATIKA,S1,86.29
INSTITUT TEKNOLOGI SUMATERA,ITERA,MATEMATIKA,S1,86.16
INSTITUT TEKNOLOGI SUMATERA,ITERA,ARSITEKTUR,S1,86.15
INSTITUT TEKNOLOGI SUMATERA,ITERA,BIOLOGI,S1,85.95
INSTITUT TEKNOLOGI SUMATERA,ITERA,REKAYASA KEHUTANAN,S1,85.45
INSTITUT TEKNOLOGI SUMATERA,ITERA,TEKNIK MATERIAL,S1,85.28
INSTITUT TEKNOLOGI SUMATERA,ITERA,REKAYASA INSTRUMENTASI DAN AUTOMASI,S1,85.11
INSTITUT TEKNOLOGI SUMATERA,ITERA,KIMIA,S1,85.02
INSTITUT TEKNOLOGI SUMATERA,ITERA,TEKNIK BIOSISTEM,S1,84.26
INSTITUT TEKNOLOGI SUMATERA,ITERA,TEKNIK SISTEM ENERGI,S1,84.19
INSTITUT TEKNOLOGI SUMATERA,ITERA,SAINS ATMOSFIR DAN KEPLANETAN,S1,83.89
INSTITUT TEKNOLOGI SUMATERA,ITERA,SAINS LINGKUNGAN KELAUTAN,S1,83.8
INSTITUT TEKNOLOGI SUMATERA,ITERA,REKAYASA TATA KELOLA AIR TERPADU,S1,83.53
INSTITUT TEKNOLOGI SUMATERA,ITERA,REKAYASA KEOLAHRAGAAN,S1,83.31
INSTITUT TEKNOLOGI SUMATERA,ITERA,FISIKA,S1,83.16
INSTITUT TEKNOLOGI SUMATERA,ITERA,TEKNIK FISIKA,S1,83.07
NILAI SISWA ELIGIBLE,,UNIVERSITAS PAPUA,,76.0
NILAI SISWA ELIGIBLE,,ISBI TANAH PAPUA,,75.0
NILAI SISWA ELIGIBLE,,UNIVERSITAS MUSAMUS MERAUKE,,74.0
NILAI SISWA ELIGIBLE,,UNIVERSITAS CENDERAWASIH,,73.0
NILAI SISWA ELIGIBLE,,UNIVERSITAS KHAIRUN,,72.0
NILAI SISWA ELIGIBLE,,UNIVERSITAS PATTIMURA,,71.0
NILAI SISWA ELIGIBLE,,UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,,70.0
NILAI SISWA ELIGIBLE,,UNIVERSITAS NEGERI GORONTALO,,69.0
NILAI SISWA ELIGIBLE,,UNIVERSITAS HALUOLEO,,68.0
NILAI SISWA ELIGIBLE,,UNIVERSITAS SULAWESI BARAT,,67.0
NILAI SISWA ELIGIBLE,,UNIVERSITAS TADULAKO,,66.0
NILAI SISWA ELIGIBLE,,UNIVERSITAS NEGERI MANADO,,65.0
NILAI SISWA ELIGIBLE,,UNIVERSITAS SAM RATULANGI,,64.0
NILAI SISWA ELIGIBLE,,INSTITUT TEKNOLOGI BJ. HABIBIE SULAWESI SELATAN,,63.0
NILAI SISWA ELIGIBLE,,UNIVERSITAS NEGERI MAKASSAR,,62.0
NILAI SISWA ELIGIBLE,,UNIVERSITAS HASANUDDIN,,61.0
NILAI SISWA ELIGIBLE,,UNIVERSITAS TIMOR,,60.0
UPN “VETERAN” JAKARTA,UPNVJ,PERBANKAN DAN KEUANGAN,D3,84.22
UPN “VETERAN” JAKARTA,UPNVJ,KEPERAWATAN,D3,83.88
UPN “VETERAN” JAKARTA,UPNVJ,AKUNTANSI,D3,83.74
UPN “VETERAN” JAKARTA,UPNVJ,SISTEM INFORMASI,D3,83.56
UPN “VETERAN” JAKARTA,UPNVJ,FISIOTERAPI,D3,83.11
UPN “VETERAN” JAKARTA,UPNVJ,KEDOKTERAN,S1,92.31
UPN “VETERAN” JAKARTA,UPNVJ,MANAJEMEN,S1,90.31
UPN “VETERAN” JAKARTA,UPNVJ,ILMU KOMUNIKASI,S1,90.06
UPN “VETERAN” JAKARTA,UPNVJ,HUKUM,S1,90.0
UPN “VETERAN” JAKARTA,UPNVJ,TEKNIK MESIN,S1,89.01
UPN “VETERAN” JAKARTA,UPNVJ,INFORMATIKA,S1,88.62
UPN “VETERAN” JAKARTA,UPNVJ,KESEHATAN MASYARAKAT,S1,88.53
UPN “VETERAN” JAKARTA,UPNVJ,TEKNIK ELEKTRO,S1,88.5
UPN “VETERAN” JAKARTA,UPNVJ,TEKNIK INDUSTRI,S1,88.16
UPN “VETERAN” JAKARTA,UPNVJ,HUBUNGAN INTERNASIONAL,S1,88.09
UPN “VETERAN” JAKARTA,UPNVJ,FARMASI,S1,87.98
UPN “VETERAN” JAKARTA,UPNVJ,TEKNIK PERKAPALAN,S1,87.66
UPN “VETERAN” JAKARTA,UPNVJ,GIZI,S1,87.49
UPN “VETERAN” JAKARTA,UPNVJ,SAINS DATA,S1,87.28
UPN “VETERAN” JAKARTA,UPNVJ,ILMU POLITIK,S1,87.04
UPN “VETERAN” JAKARTA,UPNVJ,EKONOMI PEMBANGUNAN,S1,86.62
UPN “VETERAN” JAKARTA,UPNVJ,"KAJIAN FILM, TELEVISI, DAN MEDIA",S1,86.28
UPN “VETERAN” JAKARTA,UPNVJ,EKONOMI SYARIAH,S1,85.3
UPN “VETERAN” JAKARTA,UPNVJ,SAINS INFORMASI,S1,85.11
UPN “VETERAN” JAWA TIMUR,,BAHASA INGGRIS UNTUK KOMUNIKASI BISNIS DAN PROFESIONAL,D4,83.49
UPN “VETERAN” JAWA TIMUR,,MANAJEMEN,S1,90.87
UPN “VETERAN” JAWA TIMUR,,ADMINISTRASI BISNIS,S1,90.7
UPN “VETERAN” JAWA TIMUR,,ILMU KOMUNIKASI,S1,90.0
