nama,jurusan_sma,nilai_sem1,nilai_sem2,nilai_sem3,nilai_sem4,nilai_sem5,rata_rata,nama_sekolah,ranking,akreditasi,indeks_sekolah,kuota_eligible,provinsi,nilai_berbobot,target_ptn,target_prodi,target_jenjang,passing_grade,daya_tampung_2026,peminat_2025,rasio_keketatan,target_lulus_snbp
Siswa_47,IPA,92.9,91.7,95.2,93.9,93.7,93.48,SMAS UNGGUL DEL,12,A,99.83,0.4,SUMATERA UTARA,93.32,POLITEKNIK NEGERI NUNUKAN,ADMINISTRASI BISNIS,Diploma Tiga,86.07,35,25.0,1.4,1
Siswa_48,IPA,82.4,86.2,87.1,89.1,91.1,87.18,SMAN 13 JAKARTA,87,A,98.71,0.4,DKI JAKARTA,86.06,UIN WALISONGO,KEDOKTERAN,Sarjana,86.07,10,174.5,0.2013,0
Siswa_49,IPA,82.9,83.7,86.6,90.0,91.5,86.94,SMA NEGERI 2 PATI,524,C,92.15,0.05,JAWA TENGAH,80.12,UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,GIZI,Sarjana,86.07,15,174.5,0.2013,0
Siswa_50,IPA,83.6,84.6,84.9,86.9,86.0,85.2,SMKN 1 BANDUNG,909,C,86.37,0.05,JAWA BARAT,73.59,INSTITUT TEKNOLOGI KALIMANTAN,FISIKA,Sarjana,83.68,30,15.0,2.0,0
Siswa_51,IPS,78.3,80.7,78.3,78.9,79.3,79.1,MAN 2 KOTA BOGOR,537,C,91.95,0.05,JAWA BARAT,72.73,POLITEKNIK PERTANIAN NEGERI PAYAKUMBUH,TEKNOLOGI REKAYASA PANGAN,Sarjana Terapan,86.07,21,25.0,0.84,0
Siswa_52,IPS,80.4,81.9,81.0,81.0,80.8,81.02,SMAN 12 BANDUNG,301,B,95.5,0.25,JAWA BARAT,77.37,UNIVERSITAS NEGERI SURABAYA,PENDIDIKAN TATA BUSANA,Sarjana,87.38,100,420.0,0.2381,0
Siswa_53,IPS,80.0,82.9,87.0,90.1,91.2,86.24,SMAN 82 JAKARTA,243,B,96.37,0.25,DKI JAKARTA,83.11,UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN LUAR SEKOLAH,Sarjana,84.05,23,23.0,1.0,1
Siswa_54,IPS,81.2,82.7,83.2,81.3,81.8,82.04,SMAN 2 KEDIRI,122,B,98.18,0.25,JAWA TIMUR,80.55,UNIVERSITAS SAM RATULANGI,ILMU POLITIK,Sarjana,85.86,18,46.0,0.3913,0
Siswa_55,IPA,84.8,84.6,85.1,84.2,84.9,84.72,SMA NEGERI AGAM CENDEKIA,147,B,97.81,0.25,SUMATERA BARAT,82.86,UNIVERSITAS BENGKULU,AKUNTANSI,Sarjana,80.95,40,646.0,0.0619,0
Siswa_56,IPS,86.2,87.9,88.3,88.5,89.6,88.1,MAN 1 KOTA TANGERANG SELATAN,567,C,91.5,0.05,BANTEN,80.61,UNIVERSITAS BRAWIJAYA,KEBIDANAN,Sarjana,89.42,32,474.0,0.0675,0
Siswa_57,IPA,92.8,91.5,96.3,99.7,100.0,96.06,SMAS ISLAM AL-AZHAR 3 JAKARTA,750,C,88.75,0.05,DKI JAKARTA,85.25,POLITEKNIK NEGERI MEDAN,KEUANGAN DAN PERBANKAN SYARIAH,Sarjana Terapan,86.07,34,158.0,0.2152,0
Siswa_58,IPA,80.0,81.2,85.5,87.2,88.2,84.42,SMAS AR ROHMAH DAU,356,B,94.67,0.25,JAWA TIMUR,79.92,POLITEKNIK NEGERI PADANG,TEKNIK KOMPUTER (KAMPUS KAB SOLOK SELATAN),Diploma Tiga,86.07,9,5.0,1.8,1
Siswa_59,IPA,89.9,90.9,96.3,95.4,96.6,93.82,SMAN 17 MAKASSAR,685,C,89.73,0.05,SULAWESI SELATAN,84.18,UNIVERSITAS TIDAR,AKUNTANSI,Sarjana,81.87,40,655.0,0.0611,0
Siswa_60,IPA,83.9,84.5,85.2,85.6,86.7,85.18,SMAN 16 BANDUNG,904,C,86.44,0.05,JAWA BARAT,73.63,UNIVERSITAS SYIAH KUALA,KEHUTANAN,Sarjana,85.13,36,170.0,0.2118,0
Siswa_61,IPA,84.8,85.5,87.1,86.9,86.9,86.24,SMAN 1 MOJOSARI,733,C,89.01,0.05,JAWA TIMUR,76.76,UNIVERSITAS TRUNOJOYO MADURA,AKUNTANSI,Sarjana,80.55,175,368.0,0.4755,0
Siswa_62,IPA,88.4,85.6,83.6,83.2,82.2,84.6,SMAN 72 JAKARTA,631,C,90.54,0.05,DKI JAKARTA,76.6,UIN RADEN INTAN LAMPUNG,KIMIA,Sarjana,86.07,80,11.0,7.2727,0
Siswa_63,IPS,79.4,79.3,83.2,86.2,86.4,82.9,SMKN 1 BOGOR,309,B,95.38,0.25,JAWA BARAT,79.07,UNIVERSITAS PADJADJARAN,PERPUSTAKAAN DAN SAINS INFORMASI,Sarjana,84.14,40,329.0,0.1216,0
Siswa_64,IPA,86.9,88.1,86.8,85.0,83.7,86.1,SMAS AL ISLAM 1 SURAKARTA,695,C,89.58,0.05,JAWA TENGAH,77.13,ISI BALI,TARI,Sarjana,86.07,26,38.0,0.6842,0
Siswa_65,IPA,85.8,87.2,88.6,92.8,94.6,89.8,SMAN 1 BLORA,288,B,95.69,0.25,JAWA TENGAH,85.93,UNIVERSITAS BRAWIJAYA,"EKONOMI, KEUANGAN DAN PERBANKAN",Sarjana,90.11,47,586.0,0.0802,1
Siswa_66,IPA,87.5,86.4,85.2,87.9,89.1,87.22,SMA NEGERI 2 CIMAHI,307,B,95.41,0.25,JAWA BARAT,83.22,UNIVERSITAS TADULAKO,ILMU HUKUM,Sarjana,89.6,175,516.0,0.3391,0
Siswa_67,IPA,86.4,90.0,89.8,93.0,94.0,90.64,SMAS KRISTEN HARAPAN,812,C,87.82,0.05,BALI,79.6,UNIVERSITAS LAMBUNG MANGKURAT,ILMU KELAUTAN,Sarjana,81.4,15,33.0,0.4545,0
Siswa_68,IPS,97.3,96.5,95.9,95.9,96.5,96.42,SMA NEGERI 08,594,C,91.1,0.05,JAWA TENGAH,87.84,UNIVERSITAS NEGERI MEDAN,SENI PERTUNJUKAN,Sarjana,82.4,22,24.0,0.9167,1
Siswa_69,IPA,81.8,84.8,84.5,85.2,86.1,84.48,SMAN 1 WONOAYU,966,C,85.51,0.05,JAWA TIMUR,72.24,UNIVERSITAS JAMBI,KESEHATAN HEWAN,Diploma Tiga,81.44,28,26.0,1.0769,0
Siswa_70,IPS,82.3,84.2,84.1,82.3,81.8,82.94,SMA NEGERI 2 CILACAP,914,C,86.29,0.05,JAWA TENGAH,71.57,POLITEKNIK NEGERI MANADO,ADMINISTRASI BISNIS,Diploma Tiga,86.07,10,15.0,0.6667,0
Siswa_71,IPS,81.9,81.6,81.5,81.4,81.6,81.6,SMKN 1 TUBAN,723,C,89.16,0.05,JAWA TIMUR,72.75,UNIVERSITAS DIPONEGORO,BAHASA ASING TERAPAN,Sarjana Terapan,85.45,30,282.0,0.1064,0
Siswa_72,IPA,82.2,86.8,89.4,91.4,94.2,88.8,SMAS PLUS AL GHIFARI BANDUNG,662,C,90.08,0.05,JAWA BARAT,79.99,POLITEKNIK NEGERI BANYUWANGI,TEKNOLOGI REKAYASA KOMPUTER,Sarjana Terapan,86.07,37,63.0,0.5873,0
Siswa_73,IPA,81.8,80.4,79.2,82.8,82.9,81.42,SMAN 4 PEMATANG SIANTAR,549,C,91.77,0.05,SUMATERA UTARA,74.72,UNIVERSITAS JAMBI,SISTEM INFORMASI,Sarjana,89.19,23,668.0,0.0344,0
Siswa_74,IPS,90.9,93.8,95.2,94.0,95.8,93.94,SMA IT AT TAUFIQ,352,B,94.73,0.25,JAWA BARAT,88.99,UNIVERSITAS BENGKULU,FISIKA,Sarjana,80.47,16,38.0,0.4211,1
Siswa_75,IPS,92.1,95.1,98.5,98.8,97.8,96.46,SMKN 2 DEPOK,312,B,95.33,0.25,DI YOGYAKARTA,91.96,POLITEKNIK NEGERI CILACAP,TEKNOLOGI REKAYASA MEKATRONIKA,Sarjana Terapan,86.07,26,58.0,0.4483,1
Siswa_76,IPS,82.1,81.8,81.8,82.5,83.2,82.28,SMA NEGERI 2 PEKANBARU,873,C,86.91,0.05,RIAU,71.51,UNIVERSITAS PENDIDIKAN INDONESIA,PGPAUD KAMPUS SERANG,Sarjana,81.09,60,71.0,0.8451,0
Siswa_77,IPS,80.8,84.6,84.2,82.4,82.7,82.94,SMAN 5 YOGYAKARTA,59,A,99.13,0.4,DI YOGYAKARTA,82.22,"UPN ""VETERAN"" JAWA TIMUR",KEDOKTERAN,Sarjana,86.07,30,396.0,0.0758,0
Siswa_78,IPA,87.4,87.9,88.4,90.6,90.9,89.04,SMAN 1 SIMO,643,C,90.36,0.05,JAWA TENGAH,80.46,UNIVERSITAS CENDERAWASIH,SOSIOLOGI,Sarjana,83.42,20,10.0,2.0,0
Siswa_79,IPA,82.2,83.8,87.2,86.7,87.5,85.48,SMA NEGERI 1 LENDAH,924,C,86.14,0.05,DI YOGYAKARTA,73.63,UNIVERSITAS HALUOLEO,PENDIDIKAN KIMIA,Sarjana,84.79,27,76.0,0.3553,0
Siswa_80,IPA,88.2,89.7,91.1,91.7,90.7,90.28,SMAN 1 SINDANG,714,C,89.29,0.05,JAWA BARAT,80.61,UIN RADEN FATAH,KIMIA,Sarjana,86.07,48,28.0,1.7143,0
Siswa_81,IPS,86.0,86.7,86.7,86.8,86.8,86.6,SMAN 21 SURABAYA,755,C,88.68,0.05,JAWA TIMUR,76.8,POLITEKNIK NEGERI SEMARANG,KOMPUTERISASI AKUNTANSI,Sarjana Terapan,86.07,36,263.0,0.1369,0
Siswa_82,IPS,77.4,80.0,82.0,81.4,82.4,80.64,MAN Insan Cendekia Gorontalo,35,A,99.49,0.4,GORONTALO,80.23,POLITEKNIK NEGERI BANJARMASIN,TEKNOLOGI REKAYASA GEOMATIKA DAN SURVEI,Sarjana Terapan,86.07,36,37.0,0.973,1
Siswa_83,IPA,92.7,95.3,94.1,95.1,96.7,94.78,MAS MUALLIMIN MUHAMMADIYAH,445,C,93.33,0.05,DI YOGYAKARTA,88.46,UNIVERSITAS NEGERI MEDAN,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,Sarjana,89.67,85,1047.0,0.0812,0
Siswa_84,IPA,94.0,91.5,93.8,94.4,94.1,93.56,SMAN 1 SALATIGA,93,A,98.62,0.4,JAWA TENGAH,92.27,UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,TEKNOLOGI HASIL PERTANIAN,Sarjana,81.54,8,9.0,0.8889,1
Siswa_85,IPA,81.9,85.5,87.4,87.6,87.9,86.06,SMAN 1 KEBOMAS,950,C,85.75,0.05,JAWA TIMUR,73.8,UNIVERSITAS SILIWANGI,EKONOMI SYARIAH,Sarjana,86.99,81,398.0,0.2035,0
Siswa_86,IPA,83.1,80.7,81.1,80.7,79.9,81.1,SMAN 76 JAKARTA,959,C,85.62,0.05,DKI JAKARTA,69.44,POLITEKNIK PERTANIAN NEGERI PAYAKUMBUH,TEKNOLOGI BENIH,Sarjana Terapan,86.07,21,14.0,1.5,0
Siswa_87,IPS,86.4,89.5,88.8,90.5,91.9,89.42,SMA XAVERIUS 01 PALEMBANG,207,B,96.91,0.25,SUMATERA SELATAN,86.66,POLITEKNIK NEGERI JAKARTA,BROADBAND MULTIMEDIA,Sarjana Terapan,86.07,10,146.0,0.0685,0
Siswa_88,IPS,86.7,89.9,89.2,93.5,94.9,90.84,SMAN 13 SURABAYA,353,B,94.71,0.25,JAWA TIMUR,86.03,UNIVERSITAS NEGERI PADANG,PENDIDIKAN MATEMATIKA,Sarjana,88.13,48,433.0,0.1109,0
Siswa_89,IPS,88.3,87.1,89.2,90.5,90.4,89.1,SMA MUHAMMADIYAH 04 DEPOK,903,C,86.46,0.05,JAWA BARAT,77.04,UNIVERSITAS AIRLANGGA,ILMU EKONOMI,Sarjana,86.07,66,533.0,0.1238,0
Siswa_90,IPA,95.1,95.2,98.7,100.0,100.0,97.8,SMA NEGERI 1 PUNDONG,332,B,95.03,0.25,DI YOGYAKARTA,92.94,UNIVERSITAS PATTIMURA,ILMU KOMUNIKASI,Sarjana,86.72,60,142.0,0.4225,1
Siswa_91,IPA,84.1,82.9,82.6,80.8,80.3,82.14,SMK N 2 PENGASIH,817,C,87.75,0.05,DI YOGYAKARTA,72.08,UNIVERSITAS NEGERI SURABAYA,SENI RUPA MURNI,Sarjana,81.41,34,93.0,0.3656,0
Siswa_92,IPS,81.0,81.6,83.5,84.8,86.2,83.42,SMA PUTRA BANGSA,862,C,87.07,0.05,JAWA BARAT,72.63,UNIVERSITAS DIPONEGORO,KEDOKTERAN GIGI,Sarjana,88.85,12,612.0,0.0196,0
Siswa_93,IPS,78.1,78.5,75.3,74.1,72.9,75.78,SMA NEGERI 2 WONOSOBO,725,C,89.13,0.05,JAWA TENGAH,67.54,UNIVERSITAS PENDIDIKAN INDONESIA,PENDIDIKAN PARIWISATA,Sarjana,87.85,29,427.0,0.0679,0
Siswa_94,IPA,81.3,83.9,83.7,81.8,81.6,82.46,SMA Negeri 1 Pekalongan,159,B,97.63,0.25,JAWA TENGAH,80.51,UNIVERSITAS LAMBUNG MANGKURAT,AKUNTANSI,Sarjana,80.15,60,716.0,0.0838,1
Siswa_95,IPS,84.8,88.5,89.4,88.9,89.3,88.18,SMAN 1 BUMIAYU,954,C,85.69,0.05,JAWA TENGAH,75.56,UNIVERSITAS NEGERI PADANG,AGRIBISNIS (KAMPUS KABUPATEN SIJUNJUNG),Sarjana,85.11,30,132.0,0.2273,0
Siswa_96,IPA,94.0,97.8,96.9,100.0,99.8,97.7,SMAN 4 PURWOREJO,957,C,85.65,0.05,JAWA TENGAH,83.68,UNIVERSITAS BENGKULU,KEPERAWATAN,Diploma Tiga,88.5,24,594.0,0.0404,0
Siswa_97,IPA,82.4,82.3,81.4,84.3,84.9,83.06,SMAN BANUA KAL SEL,24,A,99.65,0.4,KALIMANTAN SELATAN,82.77,UNIVERSITAS SEBELAS MARET,KESELAMATAN DAN KESEHATAN KERJA,Sarjana Terapan,90.13,27,988.0,0.0273,0
Siswa_98,IPA,86.1,86.7,86.4,87.9,88.4,87.1,SMA NEGERI 1 CIMAHI,404,C,93.95,0.05,JAWA BARAT,81.83,UNIVERSITAS JEMBER,BIOLOGI,Sarjana,86.67,42,197.0,0.2132,0
Siswa_99,IPA,84.9,82.6,84.1,82.1,81.6,83.06,SMAN 1 KENCONG,805,C,87.93,0.05,JAWA TIMUR,73.03,UNIVERSITAS SYIAH KUALA,ILMU KELAUTAN,Sarjana,85.23,48,152.0,0.3158,0
Siswa_100,IPA,90.9,90.3,91.0,91.6,91.5,91.06,SMAN 5 MEDAN,516,C,92.27,0.05,SUMATERA UTARA,84.02,UNIVERSITAS NEGERI SURABAYA,PENDIDIKAN TATA BOGA,Sarjana,87.4,100,484.0,0.2066,0
Siswa_101,IPA,97.6,100.0,96.5,98.1,97.1,97.86,SMAN 1 TABANAN,732,C,89.02,0.05,BALI,87.11,UNIVERSITAS PENDIDIKAN INDONESIA,PENDIDIKAN SISTEM DAN TEKNOLOGI INFORMASI KAMPUS PURWAKARTA,Sarjana,84.04,40,258.0,0.155,1
