nama_ptn,kode_resmi,kategori,kode_prodi,nama_prodi,jenjang,daya_tampung_2026,peminat_2025,portofolio,rasio_keketatan
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111037,PROTEKSI TANAMAN,Sarjana,24,62.0,Tidak Ada,0.3871
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111038,PERENCANAAN WILAYAH DAN KOTA,Sarjana,36,252.0,Tidak Ada,0.1429
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111039,KEHUTANAN,Sarjana,36,170.0,Tidak Ada,0.2118
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111040,TEKNIK KOMPUTER,Sarjana,48,712.0,Tidak Ada,0.0674
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111041,EKONOMI PEMBANGUNAN,Sarjana,48,317.0,Tidak Ada,0.1514
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111042,MANAJEMEN,Sarjana,60,927.0,Tidak Ada,0.0647
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111043,AKUNTANSI,Sarjana,60,716.0,Tidak Ada,0.0838
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111044,ILMU HUKUM,Sarjana,168,979.0,Tidak Ada,0.1716
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111045,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,Sarjana,42,509.0,Tidak Ada,0.0825
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111046,PENDIDIKAN SEJARAH,Sarjana,36,428.0,Tidak Ada,0.0841
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111047,PENDIDIKAN EKONOMI,Sarjana,48,231.0,Tidak Ada,0.2078
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111048,PENDIDIKAN GEOGRAFI,Sarjana,48,282.0,Tidak Ada,0.1702
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111049,PENDIDIKAN BAHASA INDONESIA,Sarjana,48,509.0,Tidak Ada,0.0943
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111050,PENDIDIKAN BAHASA INGGRIS,Sarjana,48,430.0,Tidak Ada,0.1116
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111051,PENDIDIKAN SENI DRAMA TARI DAN MUSIK,Sarjana,36,186.0,Sendratasik,0.1935
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111052,PENDIDIKAN KESEJAHTERAAN KELUARGA,Sarjana,48,409.0,Tidak Ada,0.1174
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111053,PEND. JASMANI KESEHATAN DAN REKREASI,Sarjana,60,296.0,Olahraga,0.2027
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111054,BIMBINGAN KONSELING,Sarjana,45,1101.0,Tidak Ada,0.0409
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111055,PENDIDIKAN GURU SEKOLAH DASAR,Sarjana,69,1077.0,Tidak Ada,0.0641
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111056,PSIKOLOGI,Sarjana,24,544.0,Tidak Ada,0.0441
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111057,ILMU POLITIK,Sarjana,53,169.0,Tidak Ada,0.3136
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111058,SOSIOLOGI,Sarjana,41,224.0,Tidak Ada,0.183
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111059,ILMU KOMUNIKASI,Sarjana,54,531.0,Tidak Ada,0.1017
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111060,PENDIDIKAN GURU PAUD,Sarjana,42,317.0,Tidak Ada,0.1325
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111061,ILMU PEMERINTAHAN,Sarjana,54,323.0,Tidak Ada,0.1672
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111062,EKONOMI ISLAM,Sarjana,48,253.0,Tidak Ada,0.1897
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111063,MANAJEMEN (PSDKU GAYO LUES),Sarjana,24,23.0,Tidak Ada,1.0435
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111078,TEKNOLOGI INDUSTRI HASIL PERIKANAN,Sarjana,15,43.0,Tidak Ada,0.3488
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111079,BISNIS DIGITAL,Sarjana,24,,Tidak Ada,
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111080,TEKNIK SUMBER DAYA AIR,Sarjana,18,,Tidak Ada,
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111081,TEKNIK PERMINYAKAN,Sarjana,18,,Tidak Ada,
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111082,TEKNIK LINGKUNGAN,Sarjana,18,,Tidak Ada,
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11112065,AKUNTANSI PERPAJAKAN,Sarjana Terapan,24,87.0,Tidak Ada,0.2759
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11113064,KESEHATAN HEWAN,Diploma Tiga,9,14.0,Tidak Ada,0.6429
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11113066,MANAJEMEN AGRIBISNIS,Diploma Tiga,30,9.0,Tidak Ada,3.3333
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11113067,TEKNIK LISTRIK,Diploma Tiga,12,18.0,Tidak Ada,0.6667
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11113068,BUDIDAYA PETERNAKAN,Diploma Tiga,18,5.0,Tidak Ada,3.6
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11113072,SEKRETARI,Diploma Tiga,12,19.0,Tidak Ada,0.6316
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11113073,MANAJEMEN PERUSAHAAN,Diploma Tiga,12,20.0,Tidak Ada,0.6
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11113076,KEUANGAN DAN PERBANKAN,Diploma Tiga,24,48.0,Tidak Ada,0.5
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11113077,MANAJEMEN INFORMATIKA,Diploma Tiga,24,21.0,Tidak Ada,1.1429
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121001,TEKNIK SIPIL,Sarjana,165,265.0,Tidak Ada,0.6226
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121002,TEKNIK MESIN,Sarjana,150,243.0,Tidak Ada,0.6173
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121003,TEKNIK KIMIA,Sarjana,125,124.0,Tidak Ada,1.0081
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121004,TEKNIK ELEKTRO,Sarjana,100,164.0,Tidak Ada,0.6098
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121005,TEKNIK INDUSTRI,Sarjana,125,367.0,Tidak Ada,0.3406
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121006,TEKNIK INFORMATIKA,Sarjana,148,640.0,Tidak Ada,0.2312
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121007,TEKNIK ARSITEKTUR,Sarjana,75,81.0,Tidak Ada,0.9259
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121008,AGROEKOTEKNOLOGI,Sarjana,158,291.0,Tidak Ada,0.543
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121009,AGRIBISNIS,Sarjana,133,274.0,Tidak Ada,0.4854
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121010,AKUAKULTUR,Sarjana,58,51.0,Tidak Ada,1.1373
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121011,KEDOKTERAN,Sarjana,42,707.0,Tidak Ada,0.0594
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121012,PENDIDIKAN FISIKA,Sarjana,60,46.0,Tidak Ada,1.3043
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121013,PENDIDIKAN KIMIA,Sarjana,60,66.0,Tidak Ada,0.9091
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121014,PENDIDIKAN MATEMATIKA,Sarjana,60,155.0,Tidak Ada,0.3871
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121015,PENDIDIKAN VOKASIONAL TEKNIK MESIN,Sarjana,38,36.0,Tidak Ada,1.0556
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121016,SISTEM INFORMASI,Sarjana,100,264.0,Tidak Ada,0.3788
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121017,ILMU KELAUTAN,Sarjana,58,54.0,Tidak Ada,1.0741
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121018,TEKNIK MATERIAL,Sarjana,50,31.0,Tidak Ada,1.6129
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121019,TEKNIK LOGISTIK,Sarjana,50,50.0,Tidak Ada,1.0
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121020,MANAJEMEN,Sarjana,208,587.0,Tidak Ada,0.3543
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121021,AKUNTANSI,Sarjana,163,386.0,Tidak Ada,0.4223
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121022,ILMU EKONOMI & STUDI PEMBANGUNAN,Sarjana,105,117.0,Tidak Ada,0.8974
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121023,ADMINISTRASI PUBLIK,Sarjana,135,280.0,Tidak Ada,0.4821
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121024,SOSIOLOGI,Sarjana,100,192.0,Tidak Ada,0.5208
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121025,ILMU POLITIK,Sarjana,100,45.0,Tidak Ada,2.2222
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121026,ANTROPOLOGI,Sarjana,50,59.0,Tidak Ada,0.8475
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121027,ILMU KOMUNIKASI,Sarjana,139,294.0,Tidak Ada,0.4728
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121028,HUKUM,Sarjana,250,381.0,Tidak Ada,0.6562
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121029,EKONOMI SYARIAH,Sarjana,110,162.0,Tidak Ada,0.679
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121030,PSIKOLOGI,Sarjana,90,379.0,Tidak Ada,0.2375
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121031,PENDIDIKAN BAHASA INDONESIA,Sarjana,98,384.0,Tidak Ada,0.2552
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121032,ADMINISTRASI BISNIS,Sarjana,75,264.0,Tidak Ada,0.2841
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121033,KEWIRUSAHAAN,Sarjana,68,98.0,Tidak Ada,0.6939
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121036,PENDIDIKAN ILMU PENGETAHUAN ALAM,Sarjana,30,,Tidak Ada,
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121037,PENDIDIKAN VOKASIONAL REKAYASA ELEKTRO,Sarjana,30,,Tidak Ada,
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121038,BIOTEKNOLOGI,Sarjana,45,,Tidak Ada,
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121039,PERENCANAAN WILAYAH DAN KOTA,Sarjana,30,,Tidak Ada,
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11121040,TEKNIK LINGKUNGAN,Sarjana,30,,Tidak Ada,
UNIVERSITAS MALIKUSSALEH,1112,PTN Akademik,11123034,KEPERAWATAN,Diploma Tiga,58,158.0,Tidak Ada,0.3671
UNIVERSITAS TEUKU UMAR,1113,PTN Akademik,11131001,TEKNIK SIPIL,Sarjana,52,100.0,Tidak Ada,0.52
UNIVERSITAS TEUKU UMAR,1113,PTN Akademik,11131002,TEKNIK MESIN,Sarjana,44,103.0,Tidak Ada,0.4272
UNIVERSITAS TEUKU UMAR,1113,PTN Akademik,11131003,TEKNIK INDUSTRI,Sarjana,44,123.0,Tidak Ada,0.3577
UNIVERSITAS TEUKU UMAR,1113,PTN Akademik,11131004,AGRIBISNIS,Sarjana,48,79.0,Tidak Ada,0.6076
UNIVERSITAS TEUKU UMAR,1113,PTN Akademik,11131005,AGROTEKNOLOGI,Sarjana,46,67.0,Tidak Ada,0.6866
UNIVERSITAS TEUKU UMAR,1113,PTN Akademik,11131006,PERIKANAN,Sarjana,24,32.0,Tidak Ada,0.75
UNIVERSITAS TEUKU UMAR,1113,PTN Akademik,11131007,KESEHATAN MASYARAKAT,Sarjana,64,320.0,Tidak Ada,0.2
UNIVERSITAS TEUKU UMAR,1113,PTN Akademik,11131008,AKUAKULTUR,Sarjana,22,12.0,Tidak Ada,1.8333
UNIVERSITAS TEUKU UMAR,1113,PTN Akademik,11131009,SUMBER DAYA AKUATIK,Sarjana,22,6.0,Tidak Ada,3.6667
UNIVERSITAS TEUKU UMAR,1113,PTN Akademik,11131010,TEKNOLOGI HASIL PERTANIAN,Sarjana,48,64.0,Tidak Ada,0.75
UNIVERSITAS TEUKU UMAR,1113,PTN Akademik,11131011,ILMU KELAUTAN,Sarjana,22,35.0,Tidak Ada,0.6286
UNIVERSITAS TEUKU UMAR,1113,PTN Akademik,11131012,TEKNOLOGI INFORMASI,Sarjana,48,149.0,Tidak Ada,0.3221
UNIVERSITAS TEUKU UMAR,1113,PTN Akademik,11131013,GIZI,Sarjana,52,322.0,Tidak Ada,0.1615
UNIVERSITAS TEUKU UMAR,1113,PTN Akademik,11131014,EKONOMI PEMBANGUNAN,Sarjana,34,40.0,Tidak Ada,0.85
UNIVERSITAS TEUKU UMAR,1113,PTN Akademik,11131015,ILMU ADMINISTRASI NEGARA,Sarjana,60,107.0,Tidak Ada,0.5607
UNIVERSITAS TEUKU UMAR,1113,PTN Akademik,11131016,SOSIOLOGI,Sarjana,48,99.0,Tidak Ada,0.4848
UNIVERSITAS TEUKU UMAR,1113,PTN Akademik,11131017,ILMU KOMUNIKASI,Sarjana,56,87.0,Tidak Ada,0.6437
UNIVERSITAS TEUKU UMAR,1113,PTN Akademik,11131018,MANAJEMEN,Sarjana,64,190.0,Tidak Ada,0.3368
UNIVERSITAS TEUKU UMAR,1113,PTN Akademik,11131019,AKUNTANSI,Sarjana,60,127.0,Tidak Ada,0.4724
UNIVERSITAS TEUKU UMAR,1113,PTN Akademik,11131020,ILMU HUKUM,Sarjana,64,105.0,Tidak Ada,0.6095
UNIVERSITAS TEUKU UMAR,1113,PTN Akademik,11131021,PETERNAKAN,Sarjana,24,28.0,Tidak Ada,0.8571
UNIVERSITAS TEUKU UMAR,1113,PTN Akademik,11131022,BISNIS DIGITAL,Sarjana,38,87.0,Tidak Ada,0.4368
UNIVERSITAS TEUKU UMAR,1113,PTN Akademik,11131023,KESELAMATAN DAN KESEHATAN KERJA,Sarjana,38,156.0,Tidak Ada,0.2436
UNIVERSITAS TEUKU UMAR,1113,PTN Akademik,11131024,BAHASA DAN KEBUDAYAAN INGGRIS,Sarjana,24,25.0,Tidak Ada,0.96
UNIVERSITAS TEUKU UMAR,1113,PTN Akademik,11131025,TEKNIK INFRASRUKTUR DAN LINGKUNGAN,Sarjana,16,,Tidak Ada,
UNIVERSITAS TEUKU UMAR,1113,PTN Akademik,11131026,SAINS KEOLAHRAGAAN,Sarjana,16,,Olahraga,
UNIVERSITAS TEUKU UMAR,1113,PTN Akademik,11131027,BIOSAINS HEWAN,Sarjana,16,,Tidak Ada,
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141001,AGROTEKNOLOGI,Sarjana,48,152.0,Tidak Ada,0.3158
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141002,AGRIBISNIS,Sarjana,60,175.0,Tidak Ada,0.3429
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141003,AKUAKULTUR,Sarjana,16,25.0,Tidak Ada,0.64
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141004,PENDIDIKAN MATEMATIKA,Sarjana,12,66.0,Tidak Ada,0.1818
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141005,PENDIDIKAN FISIKA,Sarjana,12,27.0,Tidak Ada,0.4444
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141006,PENDIDIKAN KIMIA,Sarjana,12,22.0,Tidak Ada,0.5455
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141007,PENDIDIKAN BIOLOGI,Sarjana,36,109.0,Tidak Ada,0.3303
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141008,TEKNIK MESIN,Sarjana,44,72.0,Tidak Ada,0.6111
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141009,TEKNIK SIPIL,Sarjana,60,108.0,Tidak Ada,0.5556
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141010,TEKNIK INDUSTRI,Sarjana,48,161.0,Tidak Ada,0.2981
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141011,INFORMATIKA,Sarjana,72,376.0,Tidak Ada,0.1915
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141012,MATEMATIKA,Sarjana,12,25.0,Tidak Ada,0.48
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141013,FISIKA,Sarjana,12,6.0,Tidak Ada,2.0
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141014,KIMIA,Sarjana,12,25.0,Tidak Ada,0.48
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141015,BIOLOGI,Sarjana,12,39.0,Tidak Ada,0.3077
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141016,HUKUM,Sarjana,96,221.0,Tidak Ada,0.4344
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141017,EKONOMI MANAJEMEN,Sarjana,96,397.0,Tidak Ada,0.2418
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141018,EKONOMI PEMBANGUNAN,Sarjana,32,53.0,Tidak Ada,0.6038
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141019,PENDIDIKAN SEJARAH,Sarjana,32,142.0,Tidak Ada,0.2254
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141020,PENDIDIKAN GEOGRAFI,Sarjana,48,111.0,Tidak Ada,0.4324
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141021,PENDIDIKAN JASMANI,Sarjana,48,158.0,Olahraga,0.3038
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141022,PENDIDIKAN GURU SEKOLAH DASAR,Sarjana,130,821.0,Tidak Ada,0.1583
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141023,PENDIDIKAN BAHASA INGGRIS,Sarjana,32,113.0,Tidak Ada,0.2832
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141024,PENDIDIKAN BAHASA INDONESIA,Sarjana,48,226.0,Tidak Ada,0.2124
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141025,AKUNTANSI,Sarjana,48,172.0,Tidak Ada,0.2791
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141026,GEOFISIKA,Sarjana,12,10.0,Tidak Ada,1.2
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141027,PENDIDIKAN ILMU PENGETAHUAN ALAM,Sarjana,12,38.0,Tidak Ada,0.3158
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141028,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,Sarjana,12,164.0,Tidak Ada,0.0732
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141029,PENDIDIKAN VOKASIONAL SENI KULINER,Sarjana,12,48.0,Tidak Ada,0.25
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141030,KRIMINOLOGI,Sarjana,16,,Tidak Ada,
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141031,PETERNAKAN,Sarjana,16,,Tidak Ada,
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141032,HUKUM BISNIS,Sarjana,16,,Tidak Ada,
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141033,TEKNOLOGI PANGAN DAN HASIL PERTANIAN,Sarjana,16,,Tidak Ada,
UNIVERSITAS SAMUDRA,1114,PTN Akademik,11141034,BISNIS DIGITAL,Sarjana,16,,Tidak Ada,
ISBI ACEH,1115,PTN Akademik,11151001,SENI KARAWITAN,Sarjana,20,3.0,Seni Karawitan,6.6667
ISBI ACEH,1115,PTN Akademik,11151002,SENI TARI,Sarjana,38,33.0,Tari,1.1515
ISBI ACEH,1115,PTN Akademik,11151003,SENI TEATER,Sarjana,15,5.0,Teater,3.0
ISBI ACEH,1115,PTN Akademik,11151004,SENI RUPA MURNI,Sarjana,20,14.0,"Seni Rupa, Desain, dan Kriya",1.4286
ISBI ACEH,1115,PTN Akademik,11151005,KRIYA SENI,Sarjana,20,8.0,"Seni Rupa, Desain, dan Kriya",2.5
ISBI ACEH,1115,PTN Akademik,11151006,DESAIN KOMUNIKASI VISUAL,Sarjana,40,25.0,"Seni Rupa, Desain, dan Kriya",1.6
ISBI ACEH,1115,PTN Akademik,11151007,KAJIAN SASTRA BUDAYA,Sarjana,15,10.0,Tidak Ada,1.5
ISBI ACEH,1115,PTN Akademik,11151008,BAHASA ACEH,Sarjana,15,5.0,Tidak Ada,3.0
ISBI ACEH,1115,PTN Akademik,11151009,DESAIN INTERIOR,Sarjana,20,4.0,"Seni Rupa, Desain, dan Kriya",5.0
ISBI ACEH,1115,PTN Akademik,11151010,BAHASA MANDARIN,Sarjana,20,,Tidak Ada,
ISBI ACEH,1115,PTN Akademik,11151011,SEJARAH,Sarjana,20,,Tidak Ada,
UNIVERSITAS SUMATERA UTARA,1121,PTN Akademik,11211001,PENDIDIKAN DOKTER,Sarjana,55,1263.0,Tidak Ada,0.0435
UNIVERSITAS SUMATERA UTARA,1121,PTN Akademik,11211002,TEKNIK SIPIL,Sarjana,38,835.0,Tidak Ada,0.0455
UNIVERSITAS SUMATERA UTARA,1121,PTN Akademik,11211003,TEKNIK MESIN,Sarjana,38,774.0,Tidak Ada,0.0491
